"Question ID (machine readable)","Response ID (machine readable)","Response value","Answer requirement","Human-friendly question label"
"PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA","","true","REQUIRED","Collects data?"
"PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT","","true","MAYBE_REQUIRED","Encrypted?"
"PSL_SUPPORT_DATA_DELETION_BY_USER","DATA_DELETION_YES","true","SINGLE_CHOICE","Deletion? / Yes"
"PSL_DATA_TYPES_APP_PERFORMANCE","PSL_CRASH_LOGS","true","MULTIPLE_CHOICE","App / Crash logs"
"PSL_DATA_TYPES_IDENTIFIERS","PSL_DEVICE_ID","true","MULTIPLE_CHOICE","IDs / Device IDs"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","true","MULTIPLE_CHOICE","Device ID / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_SHARED","true","MULTIPLE_CHOICE","Device ID / Shared"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_EPHEMERAL","","false","MAYBE_REQUIRED","Device ID / Ephemeral / No"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","true","SINGLE_CHOICE","Device ID / Required"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE","PSL_ADVERTISING","true","MULTIPLE_CHOICE","Device ID / Collect Purpose / Ads"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE","PSL_ANALYTICS","true","MULTIPLE_CHOICE","Device ID / Collect Purpose / Analytics"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE","PSL_ADVERTISING","true","MULTIPLE_CHOICE","Device ID / Share Purpose / Ads"
"PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE","PSL_ANALYTICS","true","MULTIPLE_CHOICE","Device ID / Share Purpose / Analytics"
"PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:PSL_DATA_USAGE_COLLECTION_AND_SHARING","PSL_DATA_USAGE_ONLY_COLLECTED","true","MULTIPLE_CHOICE","Crash logs / Collected"
"PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:PSL_DATA_USAGE_EPHEMERAL","","false","MAYBE_REQUIRED","Crash logs / Ephemeral / No"
"PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_USER_CONTROL","PSL_DATA_USAGE_USER_CONTROL_REQUIRED","true","SINGLE_CHOICE","Crash logs / Required"
"PSL_DATA_USAGE_RESPONSES:PSL_CRASH_LOGS:DATA_USAGE_COLLECTION_PURPOSE","PSL_ANALYTICS","true","MULTIPLE_CHOICE","Crash logs / Purpose / Analytics"
